종목명,업종명,시가총액
SK네트웍스,유통,"994,644,169,490"
쿠쿠홀딩스,기타금융,"992,184,961,500"
HLB글로벌,유통,"99,928,723,908"
SK이노베이션우,화학,"99,499,552,200"
후성,화학,"986,749,036,000"
코오롱인더,화학,"975,551,775,950"
크라운해태홀딩스,기타금융,"97,398,596,320"
세이브존I&C,유통,"97,266,921,150"
태경케미컬,화학,"97,208,000,000"
진흥기업,건설,"97,175,125,660"
황금에스티,금속,"97,070,000,000"
세아베스틸지주,금속,"962,897,895,150"
씨케이솔루션,건설,"96,226,776,800"
한국특강,금속,"96,085,031,380"
GKL,오락·문화,"952,577,318,000"
인지컨트롤스,운송장비·부품,"95,645,641,850"
삼원강재,운송장비·부품,"95,400,000,000"
CJ씨푸드,음식료·담배,"95,396,202,315"
화천기계,기계·장비,"95,260,000,000"
아남전자,전기·전자,"95,017,778,240"
동일산업,금속,"94,098,342,000"
KTis,IT 서비스,"93,443,370,000"
팜스코,음식료·담배,"93,105,335,505"
영풍,금속,"927,715,247,500"
LX세미콘,전기·전자,"918,932,950,000"
조흥,음식료·담배,"91,920,000,000"
동일고무벨트,화학,"91,740,000,000"
인스코비,통신,"91,383,789,784"
세방전지,전기·전자,"901,600,000,000"
신일전자,유통,"90,727,684,317"
HL D&I,건설,"90,292,763,385"
덕성우,화학,"9,966,720,000"
한양증권우,증권,"9,833,250,000"
포스코인터내셔널,유통,"9,728,530,176,400"
HD현대미포,운송장비·부품,"9,586,115,760,000"
유한양행,제약,"9,444,272,409,700"
SK바이오팜,일반서비스,"9,295,782,775,000"
JW중외제약우,제약,"9,164,286,800"
삼양홀딩스,기타금융,"898,339,213,400"
휴비스,화학,"89,355,000,000"
DRB동일,화학,"89,087,100,000"
효성티앤씨,화학,"889,338,651,000"
태광산업,화학,"886,266,400,000"
사조오양,음식료·담배,"88,385,291,820"
영보화학,화학,"88,200,000,000"
일동제약,제약,"873,215,755,200"
해성디에스,전기·전자,"872,100,000,000"
NH프라임리츠,부동산,"87,888,600,000"
국제약품,제약,"87,813,302,800"
한신공영,건설,"87,705,921,160"
제일연마,비금속,"87,122,000,000"
NICE평가정보,IT 서비스,"868,201,191,870"
SNT모티브,운송장비·부품,"862,558,840,000"
진양산업,화학,"86,970,000,000"
삼성바이오로직스,제약,"86,903,454,000,000"
대한유화,화학,"859,300,000,000"
솔루엠,전기·전자,"856,866,949,120"
한국내화,비금속,"85,830,159,580"
부국증권우,증권,"85,800,000,000"
동인기연,섬유·의류,"84,321,280,000"
HS효성첨단소재,화학,"828,790,380,000"
CS홀딩스,기타금융,"82,199,118,400"
율촌화학,화학,"819,640,000,000"
LG전자우,전기·전자,"817,193,919,600"
HD현대에너지솔루션,전기·전자,"816,480,000,000"
CJ CGV,오락·문화,"813,004,340,120"
DL,화학,"810,992,710,800"
동방아그로,화학,"81,977,813,540"
TP,섬유·의류,"81,931,383,130"
하이스틸,금속,"81,775,457,550"
무림페이퍼,종이·목재,"81,304,591,740"
삼호개발,건설,"81,043,200,000"
케이씨텍,의료·정밀기기,"806,922,597,000"
한화3우B,화학,"806,254,523,550"
동원시스템즈,화학,"803,058,511,400"
SK증권우,증권,"8,998,782,200"
DB손해보험,보험,"8,885,400,000,000"
이수페타시스,전기·전자,"8,486,105,716,400"
대한항공,운송·창고,"8,174,498,674,200"
S-Oil,화학,"8,139,735,861,600"
키움증권,증권,"8,034,016,240,000"
성신양회우,비금속,"8,003,817,600"
신송홀딩스,유통,"79,844,791,500"
삼부토건,건설,"79,699,592,928"
모나리자,종이·목재,"78,811,054,525"
덕성,화학,"78,008,000,000"
유안타증권,증권,"771,440,766,240"
GS우,기타금융,"77,996,896,200"
테이팩스,화학,"77,697,598,500"
상상인증권,증권,"77,461,040,800"
SG글로벌,운송장비·부품,"77,203,433,531"
보령,제약,"760,932,526,090"
부산산업,비금속,"76,771,200,000"
IHQ,오락·문화,"76,220,934,800"
KG모빌리티,운송장비·부품,"758,905,920,000"
한국금융지주우,기타금융,"758,643,504,500"
