DATE,IDX_IND_NM,MKTCAP
20190102,전기·전자,356528364900246
20190102,기타금융,169406143047340
20190102,화학,127858797749740
20190102,일반서비스,109848722375089
20190102,운송장비·부품,94518341427330
20190102,제약,79274110148231
20190102,유통,67776043072134
20190102,보험,49921597881530
20190102,금속,42324180214590
20190102,통신,38241152214890
20190102,전기·가스,28419220545050
20190102,음식료·담배,25843491048067
20190102,건설,22968885353340
20190102,운송·창고,20386096146700
20190102,증권,20214074655591
20190102,은행,18147833030090
20190102,기계·장비,17660726766360
20190102,기타제조,15250657769310
20190102,비금속,8179762533325
20190102,섬유·의류,5270578854260
20190102,종이·목재,3029891375930
20190102,의료·정밀기기,1276203516290
20190102,"농업, 임업 및 어업",1162085278650
20190102,광업,138436629150
20190103,전기·전자,345639306810219
20190103,기타금융,168204299838171
20190103,화학,126315354217795
20190103,일반서비스,109896850591653
20190103,운송장비·부품,96888121963186
20190103,제약,78009450720488
20190103,유통,67747078743643
20190103,보험,50036441122095
20190103,금속,42649279021190
20190103,통신,38558842009320
20190103,전기·가스,28990393703400
20190103,음식료·담배,26177094898644
20190103,건설,22980279078725
20190103,운송·창고,20336517408180
20190103,증권,19943792906191
20190103,은행,18372509623850
20190103,기계·장비,17761195197417
20190103,기타제조,15414218913858
20190103,비금속,8097952994965
20190103,섬유·의류,5246480542525
20190103,종이·목재,2941666765716
20190103,의료·정밀기기,1261215323550
20190103,"농업, 임업 및 어업",1153034393750
20190103,광업,137536228310
20190104,전기·전자,344662871100670
20190104,기타금융,168840474347707
20190104,화학,126099297254760
20190104,일반서비스,111780437941651
20190104,운송장비·부품,100071303648645
20190104,제약,80496198693187
20190104,유통,68740703173614
20190104,보험,50340494329965
20190104,금속,43186476726446
20190104,통신,38855902849570
20190104,전기·가스,28747503464700
20190104,음식료·담배,27459263100742
20190104,건설,23142157126330
20190104,운송·창고,20548083511410
20190104,증권,20140705213715
20190104,기계·장비,18117815119862
20190104,은행,18035194691610
20190104,기타제조,15665160419218
20190104,비금속,8012195145620
20190104,섬유·의류,5270694665190
20190104,종이·목재,2955999254092
20190104,의료·정밀기기,1260565091085
20190104,"농업, 임업 및 어업",1151664269850
20190104,광업,138211528940
20190107,전기·전자,356290681682692
20190107,기타금융,170271448187804
20190107,화학,128613594532740
20190107,일반서비스,113109105166852
20190107,운송장비·부품,99730019062366
20190107,제약,80605318893326
20190107,유통,68864542276280
20190107,보험,50413924944365
20190107,금속,43948420655317
20190107,통신,38681857316340
20190107,전기·가스,28744233896550
20190107,음식료·담배,27511655893640
20190107,건설,23624182838270
20190107,증권,20772046121793
20190107,운송·창고,20704924175885
20190107,기계·장비,18231091825641
20190107,은행,17432756394730
20190107,기타제조,15596476583967
20190107,비금속,8115796699400
20190107,섬유·의류,5417604139380
20190107,종이·목재,3062571706124
20190107,의료·정밀기기,1315042408670
20190107,"농업, 임업 및 어업",1189290007900
20190107,광업,135285226210
20190108,전기·전자,351567089303520
20190108,기타금융,169957229416762
20190108,화학,128027556429980
20190108,일반서비스,112169070695569
20190108,운송장비·부품,97941021403499
20190108,제약,80197898598445
20190108,유통,68583231515370
20190108,보험,50145931824370
20190108,금속,44022805643243
20190108,통신,38447914804460
20190108,전기·가스,29514582998050
20190108,음식료·담배,27549583801812
20190108,건설,23454855772875
20190108,운송·창고,20739629015675
20190108,증권,20501100243110
20190108,기계·장비,18160231572092
20190108,은행,17685753216980
20190108,기타제조,15729288225347
20190108,비금속,8306315895415
20190108,섬유·의류,5526206498140
20190108,종이·목재,3058896994467
20190108,의료·정밀기기,1360458241655
20190108,"농업, 임업 및 어업",1217885236200
20190108,광업,131683622850
20190109,전기·전자,366722150365017
20190109,기타금융,172585163900964
20190109,화학,129284051744340
20190109,일반서비스,114164012838460
20190109,운송장비·부품,100527416317870
20190109,제약,80532773215655
20190109,유통,69658034065538
20190109,보험,50179215767965
20190109,금속,45462052998184
20190109,통신,37681267532740
20190109,전기·가스,28367587799550
20190109,음식료·담배,27625594101684
20190109,건설,23967422832760
20190109,운송·창고,21067853894035
20190109,증권,20876500445236
20190109,기계·장비,18730087700411
20190109,은행,17799997994160
20190109,기타제조,15893488349321
20190109,비금속,8345943768490
20190109,섬유·의류,5562369471830
20190109,종이·목재,3084989099631
20190109,의료·정밀기기,1380835173675
20190109,"농업, 임업 및 어업",1220608630850
20190109,광업,132584023690
20190110,전기·전자,369660846741364
20190110,기타금융,171489989011715
20190110,화학,128660062604005
20190110,일반서비스,113652357086497
20190110,운송장비·부품,99677233313966
20190110,제약,80821086986895
20190110,유통,68960105537271
20190110,보험,50052527655730
20190110,금속,45710945042969
20190110,통신,37571541941750
20190110,전기·가스,29007284584250
20190110,음식료·담배,27248101892622
20190110,건설,23801436705804
20190110,증권,20896076428934
20190110,운송·창고,20891337341280
20190110,기계·장비,18526466323980
20190110,은행,17743839468790
20190110,기타제조,15821501228133
20190110,비금속,8279689352455
20190110,섬유·의류,5582133870240
20190110,종이·목재,3070984745773
20190110,의료·정밀기기,1387059000865
20190110,"농업, 임업 및 어업",1205651278650
20190110,광업,139562130200
20190111,전기·전자,374766709568588
20190111,기타금융,171444636863723
20190111,화학,129600153192515
20190111,일반서비스,115092413687470
20190111,운송장비·부품,99416623712487
20190111,제약,80976088254285
20190111,유통,69559517501724
20190111,보험,50313320064025
20190111,금속,45470026626652
20190111,통신,36736481875570
20190111,전기·가스,29401730086500
20190111,음식료·담배,27448913398299
20190111,건설,23794423130223
20190111,운송·창고,20990047373235
20190111,증권,20802439237539
20190111,기계·장비,18890159074246
20190111,은행,17799355418680
20190111,기타제조,15971303113417
20190111,비금속,8456522267870
20190111,섬유·의류,5497576451090
20190111,종이·목재,3103682803745
20190111,의료·정밀기기,1424157182880
20190111,"농업, 임업 및 어업",1212161901600
20190111,광업,142938633350
20190114,전기·전자,369503226396897
20190114,기타금융,169707812653961
20190114,화학,130063464154065
20190114,일반서비스,114314676459656
20190114,운송장비·부품,99078951298409
20190114,제약,80642622442559
20190114,유통,69945768435008
20190114,보험,50026232090400
20190114,금속,44703694802292
20190114,통신,36984305273560
20190114,전기·가스,29369496023500
20190114,음식료·담배,27604438704476
20190114,건설,24049638993273
20190114,운송·창고,21051639273475
20190114,증권,20768154034928
20190114,기계·장비,19096982626705
20190114,은행,17661127797500
20190114,기타제조,15923290171571
20190114,비금속,8626723563350
20190114,섬유·의류,5461536359730
20190114,종이·목재,3211375022724
20190114,의료·정밀기기,1410912955560
20190114,"농업, 임업 및 어업",1217798039650
20190114,광업,141362931880
20190115,전기·전자,378586943767492
20190115,기타금융,173605537063764
20190115,화학,131693384098540
20190115,일반서비스,114951750295355
20190115,운송장비·부품,102187657592973
20190115,제약,80456397494473
20190115,유통,70455355867456
20190115,보험,50685197152150
20190115,금속,45573421603759
20190115,통신,37241585095750
20190115,전기·가스,29453624730300
20190115,음식료·담배,27363611059124
20190115,건설,24250275321710
20190115,증권,21472970110439
20190115,운송·창고,21338032295570
20190115,기계·장비,19494773363634
20190115,은행,17829121442000
20190115,기타제조,15735766946765
20190115,비금속,8663992027485
20190115,섬유·의류,5446817409355
20190115,종이·목재,3175305887860
20190115,의료·정밀기기,1441479207490
20190115,"농업, 임업 및 어업",1205289406000
20190115,광업,142488432930
20190116,전기·전자,382196268302794
20190116,기타금융,175077529790464
20190116,화학,132337436673300
20190116,일반서비스,114935888922476
20190116,운송장비·부품,102258191312194
20190116,제약,79377305182148
20190116,유통,70235082443005
20190116,보험,50813361582825
20190116,금속,46252257809047
20190116,통신,37169614362400
20190116,전기·가스,29331622853100
